"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Amazon","AMZN","2466720514048","232.76","United States"
"2","Alibaba","BABA","267959648256","112.78","China"
"3","Pinduoduo","PDD","163152707584","117.48","China"
"4","Shopify","SHOP","159448399872","123.59","Canada"
"5","Meituan","3690.HK","120487800096","19.9284","China"
"6","MercadoLibre","MELI","103178338304","2035.18","Argentina"
"7","Sea (Garena)","SE","74497638400","129.71","Singapore"
"8","Jingdong Mall","JD","65566822400","40.8","China"
"9","Copart","CPRT","57069764608","59.23","United States"
"10","Coupang","CPNG","42866835456","23.83","United States"
"11","eBay","EBAY","32792340480","68.46","United States"
"12","Carvana","CVNA","31710179328","271.15","United States"
"13","Chewy","CHWY","15159831552","37.23","United States"
"14","Rakuten","4755.T","13765518795","6.39798","Japan"
"15","JD Health","6618.HK","13553436214","4.23734","China"
"16","Instacart (Maplebear Inc.)","CART","12765112320","49.69","United States"
"17","Global-e","GLBE","10450359296","62.58","Israel"
"18","Zalando","ZAL.DE","10325269572","39.6119","Germany"
"19","ZOZO","3092.T","9539176428","32.1234","Japan"
"20","Alibaba Health Information Technology","0241.HK","9091529545","0.564979","Hong Kong"
"21","Monotaro","3064.T","8927636812","17.9665","Japan"
"22","Allegro.eu","ALE.WA","7958761498","7.53121","Poland"
"23","Vipshop","VIPS","7725586432","15.05","China"
"24","Schibsted","SCHA.OL","6453347501","28.8952","Norway"
"25","Etsy","ETSY","5994698752","53.29","United States"
"26","Nykaa","NYKAA.NS","5659448871","1.97928","India"
"27","Wayfair","W","5562910208","44.39","United States"
"28","GoTo","GOTO.JK","5466495384","0.00507242","Indonesia"
"29","Ocado","OCDO.L","3318507522","3.97108","United Kingdom"
"30","momo.com Inc.","8454.TW","2690209103","10.6603","Taiwan"
"31","Redcare Pharmacy","RDC.DE","2518531507","123.184","Netherlands"
"32","Mercari","4385.T","2457580876","14.9644","Japan"
"33","Revolve","RVLV","2136250496","30.19","United States"
"34","Lightspeed POS","LSPD","2008496128","13.13","Canada"
"35","IndiaMART","INDIAMART.NS","1501149872","25.0158","India"
"36","Cimpress","CMPR","1374559360","55.38","Ireland"
"37","About You","YOU.DE","1197359369","6.85969","Germany"
"38","VTEX","VTEX","1155137536","6.25","United Kingdom"
"39","Liquidity Services","LQDT","1065889536","34.34","United States"
"40","MYT Netherlands Parent (Mytheresa)","MYTE","1055593088","12.38","Germany"
"41","Bukalapak.com","BUKA.JK","957926050","0.00928925","Indonesia"
"42","Vivid Seats","SEAT","928620096","4.47","United States"
"43","Auction Technology Group","ATG.L","898546588","7.34233","United Kingdom"
"44","Uxin Limited","UXIN","883350912","4.7","China"
"45","The RealReal","REAL","841329984","7.67","United States"
"46","CEWE","CWC.F","729001312","104.4","Germany"
"47","Dingdong Maicai","DDL","720393536","3.32","China"
"48","THG (The Hut Group)","THG.L","667618498","0.49654","United Kingdom"
"49","Infibeam Avenues","INFIBEAM.NS","657880094","0.236804","India"
"50","ASOS","ASC.L","578893842","4.73393","United Kingdom"
"51","Wirtualna Polska (WP Holding)","WPL.WA","573872652","19.3752","Poland"
"52","BigCommerce","BIGC","535335392","6.83","United States"
"53","Boohoo Group","BOO.L","501118503","0.358654","United Kingdom"
"54","MSTC Limited","MSTCLTD.NS","488014328","6.93202","India"
"55","Dada Nexus","DADA","475443136","1.83","China"
"56","Jumia","JMIA","472707168","3.86","Germany"
"57","Groupon","GRPN","466476288","11.73","United States"
"58","Zur Rose Group","ROSE.SW","444061874","38.4459","Switzerland"
"59","BHG Group AB","BHG.ST","427295544","2.38401","Sweden"
"60","Beyond, Inc.","BYON","424272832","9.26","United States"
"61","The Original BARK Company","BARK","342833408","1.96","United States"
"62","ThredUp","TDUP","294633216","2.59","United States"
"63","home24","H24.HM","273668360","8.1154","Germany"
"64","Shoper","SHO.WA","272906882","9.70004","Poland"
"65","Cettire Limited","CTT.AX","270468137","0.709447","Australia"
"66","Kits Eyecare","KITS.TO","198664389","6.23558","Canada"
"67","Baozun","BZUN","185677216","3.43","China"
"68","a.k.a. Brands","AKA","184185312","17.31","United States"
"69","Newegg","NEGG","170494352","0.4395","United States"
"70","Westwing Group","WEW.DE","148120033","7.3682","Germany"
"71","1stdibs.Com","DIBS","145321744","3.98","United States"
"72","Vente-Unique.com","ALVU.PA","130278049","13.4911","France"
"73","Hong Kong Technology Venture Company (HKTV)","1137.HK","125553366","0.159221","Hong Kong"
"74","SRP Groupe (Showroomprive.com)","SRP.PA","115502076","1.00664","France"
"75","Allied Tecnologia","ALLD3.SA","115119706","1.22391","Brazil"
"76","1-800-PetMeds","PETS","93573952","4.53","United States"
"77","Verkkokauppa.com","VERK.HE","85312420","1.8846","Finland"
"78","Hour Loop","HOUR","78721440","2.24","United States"
"79","CDON AB","CDON.ST","72723834","6.76419","Sweden"
"80","Grove Collaborative","GROV","62962720","1.6","United States"
"81","Global Fashion Group","GFG.DE","62553690","0.275529","Luxembourg"
"82","Natural Health Trends","NHTC","61825344","5.37","United States"
"83","Mister Spex","MRX.F","58521266","1.70714","Germany"
"84","CarParts.com","PRTS","58438824","1.09","United States"
"85","Groupe LDLC","ALLDL.PA","58314641","9.31922","France"
"86","Bike24 Holding","BIKE.DE","49729618","1.12599","Germany"
"87","Artnet AG","ART.DE","44412125","7.78331","Germany"
"88","Katapult Holdings","KPLT","40173256","9.15","United States"
"89","Lulu's Fashion Lounge","LVLU","35722064","0.8499","United States"
"90","Delticom AG","DEX.DE","32322476","2.17933","Germany"
"91","INTERSHOP Communications","ISHA.DE","30266293","2.07555","Germany"
"92","Rent the Runway","RENT","27486118","7.08","United States"
"93","LightInTheBox Holding","LITB","19119984","1.04","Singapore"
"94","Webuy Global","WBUY","11452489","0.1235","Singapore"
"95","Yunji","YJ","8307956","1.69","China"
"96","Missfresh","MF","8143030","1","China"
"97","Treasure Global","TGL","7367967","0.158","Malaysia"
"98","Kidpik","PIK","4644903","2.38","United States"
"99","Upexi","UPXI","4405266","3.55","United States"
"100","Jeffs' Brands","JFBR","3620380","2.11","Israel"
"101","Americanas","AMER3.SA","1794605","0.00910117","Brazil"
"102","Onion Global","OGBLY","10512","0.0001","China"
"103","Kaspien","KSPN","994","0.0002","United States"
"104","Ozon","OZON.ME","0","45.47","United States"
